,Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,Nasdaq,USD/IDR
0,Aug 06 2012,15238650.0,1610.0,1297.03,1030.99,10262.46,4105.5,19998.72,2694.09,9465.0
1,Aug 07 2012,15252142.5,1611.0,1297.1,1029.36,10256.27,4085.58,20072.55,2717.16,9467.5
2,Aug 08 2012,15278284.13,1613.25,1305.54,1030.17,10262.69,4090.71,20065.52,2714.02,9470.5
3,Aug 09 2012,15296472.5,1615.0,1312.05,1032.97,10269.78,4131.17,20269.47,2719.61,9471.5
4,Aug 10 2012,15339333.75,1618.5,1314.36,1031.48,10293.66,4141.56,20136.12,2722.96,9477.5
5,Aug 13 2012,15389412.5,1622.5,1313.61,1033.21,10321.7,4102.53,20081.36,2728.68,9485.0
6,Aug 14 2012,15150664.38,1597.75,1296.72,1018.62,10159.45,4121.56,20291.68,2727.79,9482.5
7,Aug 15 2012,15212620.63,1601.75,1304.14,1020.52,10191.13,4141.99,20052.29,2735.47,9497.5
8,Aug 16 2012,15226705.0,1604.5,1297.82,1019.25,10213.93,4160.51,19962.95,2768.09,9490.0
9,Aug 21 2012,15558855.0,1639.5,1313.7,1038.74,10420.99,4160.51,20100.09,2772.2,9490.0
10,Aug 23 2012,15809883.5,1665.25,1323.41,1048.15,10580.16,4162.66,20132.24,2762.02,9494.0
11,Aug 24 2012,15844835.0,1667.0,1331.79,1054.1,10592.95,4145.4,19880.03,2778.05,9505.0
12,Aug 27 2012,15869840.0,1667.0,1331.84,1055.13,10596.78,4145.88,19798.67,2782.55,9515.0
13,Aug 28 2012,15904380.0,1668.0,1327.34,1053.73,10596.8,4142.85,19811.8,2782.69,9535.0
14,Aug 29 2012,15848850.0,1660.0,1325.09,1048.74,10543.82,4093.17,19788.51,2784.0,9547.5
15,Aug 30 2012,15849472.5,1660.5,1328.61,1050.12,10543.51,4025.58,19552.91,2753.74,9545.0
16,Aug 31 2012,15718447.5,1648.5,1307.81,1037.87,10465.34,4060.33,19482.57,2772.24,9535.0
17,Sep 04 2012,16241987.0,1697.0,1350.9,1068.3,10771.37,4105.25,19429.91,2772.03,9571.0
